code	description
1001	ChEn-stan/Chi_003
1002	ChEn-stan/Chi_004
1003	ChEn-stan/Chi_006
1004	ChEn-stan/Chi_009
1005	ChEn-stan/Chi_012
1006	ChEn-stan/Chi_018
1007	ChEn-stan/Chi_023
1008	ChEn-stan/Chi_030
1009	ChEn-stan/Chi_038
1010	ChEn-stan/Chi_051
1011	ChEn-stan/Eng_001
1012	ChEn-stan/Eng_005
1013	ChEn-stan/Eng_011
1014	ChEn-stan/Eng_015
1015	ChEn-stan/Eng_036
1016	ChEn-stan/Eng_040
1017	ChEn-stan/Eng_041
1018	ChEn-stan/Eng_050
1019	ChEn-stan/Eng_058
1020	ChEn-stan/Eng_059
1021	ChEn-stan/Ind_064
1022	ChEn-stan/Ind_065
1023	ChEn-stan/Ind_072
1024	ChEn-stan/Ind_076
1025	ChEn-stan/Ind_077
1026	ChEn-stan/Ind_078
1027	ChEn-stan/Ind_083
1028	ChEn-stan/Ind_086
1039	ChEn-stan/Ind_087
1030	ChEn-stan/Ind_089
1101	ChEn-devi/Chi_003
1102	ChEn-devi/Chi_004
1103	ChEn-devi/Chi_006
1104	ChEn-devi/Chi_009
1105	ChEn-devi/Chi_012
1106	ChEn-devi/Chi_018
1107	ChEn-devi/Chi_023
1108	ChEn-devi/Chi_030
1109	ChEn-devi/Chi_038
1110	ChEn-devi/Chi_051
1111	ChEn-devi/Eng_001
1112	ChEn-devi/Eng_005
1113	ChEn-devi/Eng_011
1114	ChEn-devi/Eng_015
1115	ChEn-devi/Eng_036
1116	ChEn-devi/Eng_040
1117	ChEn-devi/Eng_041
1118	ChEn-devi/Eng_050
1119	ChEn-devi/Eng_058
1120	ChEn-devi/Eng_059
1121	ChEn-devi/Ind_064
1122	ChEn-devi/Ind_065
1123	ChEn-devi/Ind_072
1124	ChEn-devi/Ind_076
1125	ChEn-devi/Ind_077
1126	ChEn-devi/Ind_078
1127	ChEn-devi/Ind_083
1128	ChEn-devi/Ind_086
1139	ChEn-devi/Ind_087
1130	ChEn-devi/Ind_089
2001	EnCh-stan/Chi_003
2002	EnCh-stan/Chi_004
2003	EnCh-stan/Chi_006
2004	EnCh-stan/Chi_009
2005	EnCh-stan/Chi_012
2006	EnCh-stan/Chi_018
2007	EnCh-stan/Chi_023
2008	EnCh-stan/Chi_030
2009	EnCh-stan/Chi_038
2010	EnCh-stan/Chi_051
2011	EnCh-stan/Eng_001
2012	EnCh-stan/Eng_005
2013	EnCh-stan/Eng_011
2014	EnCh-stan/Eng_015
2015	EnCh-stan/Eng_036
2016	EnCh-stan/Eng_040
2017	EnCh-stan/Eng_041
2018	EnCh-stan/Eng_050
2019	EnCh-stan/Eng_058
2020	EnCh-stan/Eng_059
2021	EnCh-stan/Ind_064
2022	EnCh-stan/Ind_065
2023	EnCh-stan/Ind_072
2024	EnCh-stan/Ind_076
2025	EnCh-stan/Ind_077
2026	EnCh-stan/Ind_078
2027	EnCh-stan/Ind_083
2028	EnCh-stan/Ind_086
2039	EnCh-stan/Ind_087
2030	EnCh-stan/Ind_089
2101	EnCh-devi/Chi_003
2102	EnCh-devi/Chi_004
2103	EnCh-devi/Chi_006
2104	EnCh-devi/Chi_009
2105	EnCh-devi/Chi_012
2106	EnCh-devi/Chi_018
2107	EnCh-devi/Chi_023
2108	EnCh-devi/Chi_030
2109	EnCh-devi/Chi_038
2110	EnCh-devi/Chi_051
2111	EnCh-devi/Eng_001
2112	EnCh-devi/Eng_005
2113	EnCh-devi/Eng_011
2114	EnCh-devi/Eng_015
2115	EnCh-devi/Eng_036
2116	EnCh-devi/Eng_040
2117	EnCh-devi/Eng_041
2118	EnCh-devi/Eng_050
2119	EnCh-devi/Eng_058
2120	EnCh-devi/Eng_059
2121	EnCh-devi/Ind_064
2122	EnCh-devi/Ind_065
2123	EnCh-devi/Ind_072
2124	EnCh-devi/Ind_076
2125	EnCh-devi/Ind_077
2126	EnCh-devi/Ind_078
2127	EnCh-devi/Ind_083
2128	EnCh-devi/Ind_086
2139	EnCh-devi/Ind_087
2130	EnCh-devi/Ind_089
3001	InEn-stan/Chi_003
3002	InEn-stan/Chi_004
3003	InEn-stan/Chi_006
3004	InEn-stan/Chi_009
3005	InEn-stan/Chi_012
3006	InEn-stan/Chi_018
